block_index,start_idx,end_idx,num_samples,frequency_hz,time_start_s,time_end_s,duration_s,amplitude_set
1,0,37061,37062,0.05,11.54115,30.161748,18.620598,250.0
2,37062,68295,31234,0.1,38.371486,54.098335,15.726849000000001,250.0
3,68296,105454,37159,0.2,61.518249,80.222065,18.703816000000003,250.0
4,105455,158232,52778,0.5,85.189487,111.683386,26.493899,250.0
5,158233,183943,25711,1.0,119.206653,132.133204,12.926551000000003,250.0
6,183944,204960,21017,2.0,136.851224,147.43996,10.588736000000011,250.0
7,204961,215128,10168,5.0,152.065869,157.16336,5.097491000000019,250.0
8,215129,230796,15668,7.5,162.145348,169.993059,7.8477109999999755,250.0
9,230797,242663,11867,10.0,174.905344,180.868705,5.963360999999992,250.0
10,242664,251290,8627,15.0,185.671801,189.995072,4.323271000000005,250.0
11,251291,260103,8813,20.0,194.729662,199.144064,4.4144019999999955,250.0
