Time,Theta,PeakType,AbsAmp
24.079396,0.33257522913444515,max,0.3418997728362725
24.080396,0.33257522913444515,min,0.3418997728362725
24.081396,0.33257522913444515,max,0.3418997728362725
24.082396,0.33257522913444515,min,0.3418997728362725
24.083396,0.33257522913444515,max,0.3418997728362725
24.08442,0.33257522913444515,min,0.3418997728362725
24.08542,0.33257522913444515,max,0.3418997728362725
24.08642,0.33257522913444515,min,0.3418997728362725
24.087421,0.33257522913444515,max,0.3418997728362725
24.088421,0.33257522913444515,min,0.3418997728362725
24.089421,0.33257522913444515,max,0.3418997728362725
24.091421,0.3310211356085918,min,0.34034567931041915
24.092421,0.3310211356085918,max,0.34034567931041915
24.093421,0.3310211356085918,min,0.34034567931041915
24.094421,0.3310211356085918,max,0.34034567931041915
24.095421,0.3310211356085918,min,0.34034567931041915
24.096421,0.3310211356085918,max,0.34034567931041915
24.098421,0.3294670420827385,min,0.33879158578456586
24.099421,0.3294670420827385,max,0.33879158578456586
24.100421,0.3294670420827385,min,0.33879158578456586
24.101421,0.3294670420827385,max,0.33879158578456586
24.102421,0.3294670420827385,min,0.33879158578456586
24.103421,0.3294670420827385,max,0.33879158578456586
24.105421,0.3279129660101777,min,0.33723750971200506
24.106421,0.3279129660101777,max,0.33723750971200506
24.107421,0.3279129660101777,min,0.33723750971200506
24.108421,0.3279129660101777,max,0.33723750971200506
24.109421,0.3279129660101777,min,0.33723750971200506
24.110421,0.3279129660101777,max,0.33723750971200506
24.111421,0.3279129660101777,min,0.33723750971200506
24.112421,0.3279129660101777,max,0.33723750971200506
24.114428,0.32635887248432444,min,0.3356834161861518
24.115428,0.32635887248432444,max,0.3356834161861518
24.116428,0.32635887248432444,min,0.3356834161861518
24.117428,0.32635887248432444,max,0.3356834161861518
24.118428,0.3248047789584711,min,0.33412932266029843
24.119429,0.3248047789584711,max,0.33412932266029843
24.121429,0.3232506854326178,min,0.33257522913444515
24.122429,0.3232506854326178,max,0.33257522913444515
24.123429,0.3232506854326178,min,0.33257522913444515
24.124429,0.3232506854326178,max,0.33257522913444515
24.125429,0.3232506854326178,min,0.33257522913444515
24.126429,0.3232506854326178,max,0.33257522913444515
24.127429,0.32169660936005695,min,0.3310211530618843
24.128429,0.32169660936005695,max,0.3310211530618843
24.129429,0.3201425158342037,min,0.32946705953603106
24.130429,0.3201425158342037,max,0.32946705953603106
24.132429,0.3185884223083504,min,0.3279129660101777
24.133429,0.3185884223083504,max,0.3279129660101777
24.135429,0.3170343287824971,min,0.32635887248432444
24.136429,0.3170343287824971,max,0.32635887248432444
24.138429,0.31548023525664376,min,0.3248047789584711
24.139429,0.31548023525664376,max,0.3248047789584711
24.140429,0.31392615918408295,min,0.3232507028859103
24.141429,0.31392615918408295,max,0.3232507028859103
24.143429,0.3108179721323764,min,0.3201425158342037
24.144429,0.3108179721323764,max,0.3201425158342037
24.145429,0.3108179721323764,min,0.3201425158342037
24.146429,0.3108179721323764,max,0.3201425158342037
24.147429,0.30926387860652305,min,0.3185884223083504
24.148429,0.30926387860652305,max,0.3185884223083504
24.149429,0.3077097850806697,min,0.31703432878249704
24.150429,0.3077097850806697,max,0.31703432878249704
24.152429,0.3046016154822556,min,0.31392615918408295
24.153429,0.3046016154822556,max,0.31392615918408295
24.154429,0.30304752195640233,min,0.31237206565822967
24.155429,0.30304752195640233,max,0.31237206565822967
24.156429,0.301493428430549,min,0.31081797213237633
24.157429,0.301493428430549,max,0.31081797213237633
24.160429,0.2968311653062816,min,0.30615570900810896
24.161429,0.2968311653062816,max,0.30615570900810896
24.163429,0.293722978254575,min,0.30304752195640233
24.164429,0.293722978254575,max,0.30304752195640233
24.165429,0.29216890218201413,min,0.30149344588384147
24.166429,0.29216890218201413,max,0.30149344588384147
24.167429,0.28906071513030757,min,0.2983852588321349
24.168429,0.28906071513030757,max,0.2983852588321349
24.170429,0.28595252807860094,min,0.2952770717804283
24.17143,0.28595252807860094,max,0.2952770717804283
24.17743,0.2766280018300661,min,0.2859525455318934
24.17843,0.2766280018300661,max,0.2859525455318934
24.18043,0.2719657212525062,min,0.2812902649543335
24.18143,0.2719657212525062,max,0.2812902649543335
24.203438,0.23622165742434262,min,0.24554620112616996
24.204438,0.23622165742434262,max,0.24554620112616996
24.214438,0.21601849394812714,min,0.22534303764995448
24.215438,0.21601849394812714,max,0.22534303764995448
24.225441,0.19426123694605835,min,0.20358578064788568
24.226441,0.19426123694605835,max,0.20358578064788568
24.235442,0.17405805601655033,min,0.18338259971837767
24.236442,0.17405805601655033,max,0.18338259971837767
24.248442,0.14608444236436083,min,0.15540898606618817
24.249442,0.14608444236436083,max,0.15540898606618817
24.255442,0.13054354201241275,min,0.1398680857142401
24.256442,0.13054354201241275,max,0.1398680857142401
24.263442,0.11189447206205058,min,0.12121901576387793
24.264442,0.11189447206205058,max,0.12121901576387793
24.266443,0.10567811541192985,min,0.1150026591137572
24.267457,0.10567811541192985,max,0.1150026591137572
24.274457,0.08858312153412848,min,0.09790766523595583
24.275457,0.08858312153412848,max,0.09790766523595583
24.288457,0.05594722730437903,min,0.06527177100620637
24.289457,0.05594722730437903,max,0.06527177100620637
24.301467,0.026419520126336207,min,0.03574406382816355
24.302467,0.026419520126336207,max,0.03574406382816355
24.333468,-0.04662270105584421,min,0.03729815735401686
24.334468,-0.04662270105584421,max,0.03729815735401686
24.358477,-0.09946175876180913,min,0.09013721505998178
24.359477,-0.09946175876180913,max,0.09013721505998178
24.364477,-0.11189447206205058,min,0.10256992836022323
24.365477,-0.11189447206205058,max,0.10256992836022323
24.374477,-0.13054354201241275,min,0.1212189983105854
24.375477,-0.13054354201241275,max,0.1212189983105854
24.383477,-0.14608444236436083,min,0.1367598986625335
24.384477,-0.14608444236436083,max,0.1367598986625335
24.385477,-0.14763853589021414,min,0.1383139921883868
24.386478,-0.14763853589021414,max,0.1383139921883868
24.388478,-0.15385489254033485,min,0.14453034883850752
24.389478,-0.15385489254033485,max,0.14453034883850752
24.390478,-0.15696307959204148,min,0.14763853589021414
24.391629,-0.15696307959204148,max,0.14763853589021414
24.395637,-0.1647335297680155,min,0.15540898606618817
24.396637,-0.1647335297680155,max,0.15540898606618817
24.397637,-0.16784169936642962,min,0.15851715566460228
24.398637,-0.16784169936642962,max,0.15851715566460228
24.399637,-0.17094988641813624,min,0.1616253427163089
24.400637,-0.17094988641813624,max,0.1616253427163089
24.404637,-0.17716624306825696,min,0.16784169936642962
24.405637,-0.17716624306825696,max,0.16784169936642962
24.409637,-0.184936693244231,min,0.17561214954240367
24.410637,-0.184936693244231,max,0.17561214954240367
24.414637,-0.1895989563684984,min,0.18027441266667107
24.415638,-0.1895989563684984,max,0.18027441266667107
24.418638,-0.19426123694605835,min,0.184936693244231
24.419638,-0.19426123694605835,max,0.184936693244231
24.422638,-0.19892350007032575,min,0.1895989563684984
24.423638,-0.19892350007032575,max,0.1895989563684984
24.424638,-0.20047759359617906,min,0.19115304989435172
24.425638,-0.20047759359617906,max,0.19115304989435172
24.426638,-0.20358576319459315,min,0.1942612194927658
24.427638,-0.20358576319459315,max,0.1942612194927658
24.429638,-0.2066939502462998,min,0.19736940654447246
24.430638,-0.2066939502462998,max,0.19736940654447246
24.43273,-0.2082480437721531,min,0.19892350007032578
24.43373,-0.2082480437721531,max,0.19892350007032578
24.437776,-0.21446440042227383,min,0.2051398567204465
24.438776,-0.21446440042227383,max,0.2051398567204465
24.439776,-0.21446440042227383,min,0.2051398567204465
24.440776,-0.21446440042227383,max,0.2051398567204465
24.442776,-0.21757258747398045,min,0.2082480437721531
24.443776,-0.21757258747398045,max,0.2082480437721531
24.444776,-0.21912666354654123,min,0.2098021198447139
24.445776,-0.21912666354654123,max,0.2098021198447139
24.447776,-0.22068075707239454,min,0.2113562133705672
24.448776,-0.22068075707239454,max,0.2113562133705672
24.450776,-0.22223485059824785,min,0.21291030689642051
24.451776,-0.22223485059824785,max,0.21291030689642051
24.452776,-0.22378894412410116,min,0.21446440042227383
24.453776,-0.22378894412410116,max,0.21446440042227383
24.455776,-0.22534303764995448,min,0.21601849394812714
24.456776,-0.22534303764995448,max,0.21601849394812714
24.458776,-0.22689711372251525,min,0.21757257002068792
24.459776,-0.22689711372251525,max,0.21757257002068792
24.461777,-0.2284512072483686,min,0.21912666354654126
24.462777,-0.2284512072483686,max,0.21912666354654126
24.463777,-0.2284512072483686,min,0.21912666354654126
24.464777,-0.2284512072483686,max,0.21912666354654126
24.465777,-0.2284512072483686,min,0.21912666354654126
24.466777,-0.2284512072483686,max,0.21912666354654126
24.467794,-0.2300053007742219,min,0.22068075707239457
24.468794,-0.2300053007742219,max,0.22068075707239457
24.469794,-0.2300053007742219,min,0.22068075707239457
24.470794,-0.2300053007742219,max,0.22068075707239457
24.471794,-0.2300053007742219,min,0.22068075707239457
24.472794,-0.2300053007742219,max,0.22068075707239457
24.474794,-0.23155939430007522,min,0.22223485059824788
24.475794,-0.23155939430007522,max,0.22223485059824788
24.476794,-0.23155939430007522,min,0.22223485059824788
24.477794,-0.23155939430007522,max,0.22223485059824788
24.478808,-0.23155939430007522,min,0.22223485059824788
24.479808,-0.23155939430007522,max,0.22223485059824788
24.480808,-0.23155939430007522,min,0.22223485059824788
24.481808,-0.23155939430007522,max,0.22223485059824788
24.482808,-0.23155939430007522,min,0.22223485059824788
24.483808,-0.23155939430007522,max,0.22223485059824788
24.484808,-0.23155939430007522,min,0.22223485059824788
24.485808,-0.23155939430007522,max,0.22223485059824788
