time,theta,phi,theta_dot,phi_dot,tau,theta_plus_phi
0.0,0.0,0.0,0.0,0.0,1000.0,0.0
0.001,0.01249847415600538,-0.012496976780879555,20.828755707635324,-20.824195843245057,0.0,1.4973751258241103e-06
0.002,0.03332341461273831,-0.033313150916357503,20.821124893581178,-20.807926353634695,0.0,1.0263696380803655e-05
0.003,0.05414072331965912,-0.054112377595725666,20.813492209026247,-20.790301194121657,0.0,2.8345723933453915e-05
0.004,0.07495039840936259,-0.07489330195309302,20.8058576602117,-20.77132198744123,0.0,5.709645626957027e-05
0.005,0.0957524380208347,-0.09565457078941701,20.798221253678705,-20.750990444531823,0.0,9.786723141769205e-05
0.006,0.11654684029975239,-0.11639483266063588,20.790582996267812,-20.729308364392317,0.0,0.0001520076391165054
0.007,0.13733360339878253,-0.1371127379656554,20.782942895118353,-20.706277633933727,0.0,0.00022086543312713203
0.008,0.15811272547788047,-0.15780693903418447,20.775300957667795,-20.681900227825132,0.0,0.00030578644369599894
0.009000000000000001,0.17888420470458782,-0.17847609021441377,20.76765719165109,-20.6561782083339,0.0,0.0004081144901740552
0.01,0.1996480392543296,-0.1991188479605318,20.760011605099994,-20.62911372516025,0.0,0.0005291912937978038
0.011,0.22040422731071074,-0.21973387092007263,20.75236420634238,-20.60070901526612,0.0,0.000670356390638116
0.012,0.24115276706581176,-0.24031982002108968,20.74471500400152,-20.570966402698375,0.0,0.0008329470447220877
0.013000000000000001,0.26189365672048387,-0.26087535855914995,20.73706400699535,-20.539888298406378,0.0,0.0010182981613339193
0.014,0.2826268944846432,-0.2813991522841429,20.729411224535724,-20.507477200053916,0.0,0.0012277422005002592
0.015,0.30335247857756437,-0.30188986948689855,20.72175666612764,-20.47373569182551,0.0,0.0014626090906658118
0.016,0.3240704072281733,-0.322346181085609,20.714100341568447,-20.438666444227128,0.0,0.0017242261425643446
0.017,0.3447806786753391,-0.3427667607120478,20.70644226094705,-20.402272213881293,0.0,0.002013917963291312
0.018000000000000002,0.3654832911681652,-0.363150284797582,20.698782434643064,-20.36455584331663,0.0,0.0023330063705832016
0.019,0.38617824296627956,-0.38349543265897046,20.691120873325982,-20.325520260751844,0.0,0.0026828103073091025
0.02,0.4068655323401243,-0.40380088658394375,20.683457587954305,-20.285168479874173,0.0,0.0030646457561805396
0.021,0.42754515757124417,-0.4240653319165595,20.67579258977466,-20.243503599612282,0.0,0.0034798256546846873
0.022,0.44821711695257427,-0.44428745714232803,20.66812589032089,-20.200528803903683,0.0,0.003929659810246233
0.023,0.4688814087887267,-0.4644659539731027,20.66045750141316,-20.156247361456646,0.0,0.004415454815623998
0.024,0.4895380313962765,-0.48459951743172913,20.652787435156977,-20.110662625506627,0.0,0.004938513964547364
0.025,0.5101869831040465,-0.5046868459364486,20.64511570394227,-20.063778033567253,0.0,0.005500137167597896
0.026000000000000002,0.5308282622533914,-0.5247266413850493,20.637442320442396,-20.01559710717587,0.0,0.006101620868342095
0.027,0.5514618671984803,-0.5447176092387603,20.62976729761315,-19.96612345163366,0.0,0.006744257959720001
0.028,0.5720877963065791,-0.5646584586058839,20.62209064869175,-19.915360755740355,0.0,0.007429337700695204
0.029,0.5927060479583312,-0.5845479023251585,20.614412387195813,-19.863312791523583,0.0,0.008158145633172631
0.03,0.6133166205480372,-0.6043846570488495,20.606732526922308,-19.809983413962843,0.0,0.008931963499187678
0.031,0.633919512483934,-0.6241674433255605,20.599051081946484,-19.755376560708132,0.0,0.009752069158373455
0.032,0.6545147221884725,-0.6438949856827614,20.591368066620788,-19.699496251793267,0.0,0.01061973650571113
0.033,0.6751022480985942,-0.663566012709026,20.583683495573766,-19.642346589343884,0.0,0.011536235389568161
0.034,0.6956820886660066,-0.6831792571359765,20.575997383708945,-19.583931757280173,0.0,0.012502831530030067
0.035,0.7162542423574577,-0.7027334559199263,20.56830974620369,-19.52425602101434,0.0,0.013520786437531407
0.036000000000000004,0.7368187076550096,-0.7222273503232192,20.560620598508052,-19.463323727142857,0.0,0.0145913573317904
0.037,0.75737548305631,-0.7416596859952573,20.552929956343608,-19.40113930313345,0.0,0.01571579706105264
0.038,0.7779245670748636,-0.7610292130532139,20.54523783570225,-19.337707257006954,0.0,0.016895354021649656
0.039,0.7984659582403016,-0.780334686162425,20.537544252844995,-19.27303217701394,0.0,0.01813127207787668
