block_index,start_idx,end_idx,num_samples,frequency_hz,time_start_s,time_end_s,duration_s,amplitude_set
1,0,83364,83365,0.05,5.274284,47.084309,41.810024999999996,350.0
2,83365,117285,33921,0.1,52.148422,69.155752,17.00733000000001,350.0
3,117286,159595,42310,0.2,73.753731,95.218551,21.464820000000003,350.0
4,159596,187008,27413,0.5,95.219051,109.954782,14.735731000000001,350.0
5,187009,214102,27094,1.0,118.528677,132.111948,13.58327100000001,350.0
6,214103,236639,22537,2.0,136.399636,147.694485,11.294849,350.0
7,236640,246666,10027,5.0,152.056662,157.080661,5.023999000000003,350.0
8,246667,256690,10024,7.5,162.312339,167.33498,5.022640999999993,350.0
9,256691,267708,11018,10.0,174.652346,180.187278,5.534931999999998,350.0
10,267709,276900,9192,15.0,184.582245,189.187873,4.605627999999996,350.0
11,276901,288342,11442,20.0,193.550974,199.286253,5.735278999999991,350.0
