f_hz,omega_rad_s,Au_volts,Ay_rad_per_s,Gain_linear_rad_per_s_per_V,Gain_dB,Phase_deg,N_samples
0.05,0.3141592653589793,2.9325512458403296,194.33916890723822,66.26965826527265,36.426294621150745,-1.293954042691837,37062
0.1,0.6283185307179586,2.932551506378599,195.70270701077249,66.73461884133974,36.4870236862519,-1.435163602188112,31234
0.2,1.2566370614359172,2.9325510495807703,196.31789620371467,66.94440877057528,36.514286207546874,-2.5939236121002693,37159
0.5,3.141592653589793,2.9325525052640886,194.65432856516486,66.3770992047883,36.44036538119232,-6.715861987944891,52778
1.0,6.283185307179586,2.932551924947259,195.42473141408777,66.63981965727766,36.474676261985685,-13.663371628307857,25711
2.0,12.566370614359172,2.932552855705255,189.9736421581469,64.78097804394383,36.228950011452106,-26.19087013295669,21017
5.0,31.41592653589793,2.932548939223506,160.3570475804337,54.68179761149827,34.756855662876156,-59.49130799372361,10168
7.5,47.12388980384689,2.9325544617533406,60.046718899961455,20.4759092058124,26.22486390271547,-83.43743020082297,15668
10.0,62.83185307179586,2.9326147066178923,0.9643508047185724,0.3288365166219646,-9.66039921881788,-105.1761681019849,11867
15.0,94.24777960769379,2.932558668711024,0.02538584495951432,0.008656551437612809,-41.25310172061808,-156.52746401838047,8627
20.0,125.66370614359172,2.932540418440267,0.004867748331613783,0.0016599083514773165,-55.59831779999965,102.13739314689803,8813
