w_rad_s,f_hz,cable_len_equiv_m,bridge_A_unshaped_tf1.1,bridge_A_unshaped_tf1.6,bridge_A_unshaped_tf2.0,bridge_A_ZV_tf1.1,bridge_A_ZV_tf1.6,bridge_A_ZV_tf2.0,bridge_B_unshaped,bridge_B_ZV_0.91,bridge_B_ZVD_asrun_0.91,bridge_B_ZVD_textbook_0.91,bridge_B_EI5_0.91,tower_ZV_0.84,tower_ZVD_asrun,tower_ZVD_textbook,tower_2modeZV,shaperonly_ZV_0.91,shaperonly_ZVD_textbook_0.91,shaperonly_ZVD_asrun_0.91,shaperonly_ZV_0.84,shaperonly_2modeZV
15.211426,2.420974,0.042382,1.0,1.0,1.0,0.846214,0.846214,0.846214,1.0,0.80328,0.756697,0.645259,0.627522,0.994428,1.165816,0.946327,0.461627,0.80328,0.645259,0.605357,0.994428,0.461627
15.224354,2.423031,0.04231,1.0,1.0,1.0,0.8431,0.8431,0.8431,1.0,0.799763,0.748946,0.639621,0.621602,0.993841,1.162215,0.943955,0.46289,0.799763,0.639621,0.599157,0.993841,0.46289
15.237281,2.425089,0.042238,1.0,1.0,1.0,0.839958,0.839958,0.839958,1.0,0.796218,0.741173,0.633964,0.615662,0.993225,1.158536,0.941529,0.464136,0.796218,0.633964,0.592939,0.993225,0.464136
15.250209,2.427146,0.042167,1.0,1.0,1.0,0.836787,0.836787,0.836787,1.0,0.792646,0.73338,0.628288,0.609702,0.992579,1.15478,0.939049,0.465365,0.792646,0.628288,0.586704,0.992579,0.465365
15.263136,2.429204,0.042095,1.0,1.0,1.0,0.833587,0.833587,0.833587,1.0,0.789046,0.725568,0.622594,0.603724,0.991904,1.150948,0.936514,0.466577,0.789046,0.622594,0.580455,0.991904,0.466577
15.276063,2.431261,0.042024,1.0,1.0,1.0,0.83036,0.83036,0.83036,1.0,0.785419,0.717738,0.616883,0.597727,0.9912,1.147039,0.933926,0.467772,0.785419,0.616883,0.57419,0.9912,0.467772
15.288991,2.433318,0.041953,1.0,1.0,1.0,0.827104,0.827104,0.827104,1.0,0.781765,0.709891,0.611156,0.591714,0.990467,1.143054,0.931285,0.468949,0.781765,0.611156,0.567913,0.990467,0.468949
15.301918,2.435376,0.041882,1.0,1.0,1.0,0.823821,0.823821,0.823821,1.0,0.778083,0.702029,0.605414,0.585684,0.989704,1.138994,0.928591,0.470108,0.778083,0.605414,0.561623,0.989704,0.470108
15.314846,2.437433,0.041811,1.0,1.0,1.0,0.820509,0.820509,0.820509,1.0,0.774375,0.694153,0.599657,0.57964,0.988913,1.134858,0.925845,0.47125,0.774375,0.599657,0.555322,0.988913,0.47125
15.327773,2.439491,0.041741,1.0,1.0,1.0,0.81717,0.81717,0.81717,1.0,0.77064,0.686264,0.593886,0.57358,0.988092,1.130648,0.923046,0.472374,0.77064,0.593886,0.549011,0.988092,0.472374
15.340701,2.441548,0.041671,1.0,1.0,1.0,0.813803,0.813803,0.813803,1.0,0.766878,0.678364,0.588102,0.567507,0.987242,1.126365,0.920196,0.473481,0.766878,0.588102,0.542691,0.987242,0.473481
15.353628,2.443606,0.041601,1.0,1.0,1.0,0.810408,0.810408,0.810408,1.0,0.76309,0.670454,0.582306,0.561422,0.986363,1.122007,0.917294,0.474569,0.76309,0.582306,0.536363,0.986363,0.474569
15.366555,2.445663,0.041531,1.0,1.0,1.0,0.806987,0.806987,0.806987,1.0,0.759275,0.662535,0.576499,0.555324,0.985455,1.117577,0.914341,0.475639,0.759275,0.576499,0.530028,0.985455,0.475639
15.379483,2.447721,0.041461,1.0,1.0,1.0,0.803537,0.803537,0.803537,1.0,0.755434,0.654609,0.570681,0.549215,0.984517,1.113074,0.911337,0.476691,0.755434,0.570681,0.523688,0.984517,0.476691
15.39241,2.449778,0.041391,1.0,1.0,1.0,0.800061,0.800061,0.800061,1.0,0.751567,0.646678,0.564854,0.543096,0.983551,1.108499,0.908283,0.477724,0.751567,0.564854,0.517342,0.983551,0.477724
15.405338,2.451836,0.041322,1.0,1.0,1.0,0.796558,0.796558,0.796558,1.0,0.747674,0.638742,0.559017,0.536968,0.982556,1.103852,0.905179,0.478739,0.747674,0.559017,0.510994,0.982556,0.478739
15.418265,2.453893,0.041252,1.0,1.0,1.0,0.793027,0.793027,0.793027,1.0,0.743755,0.630803,0.553172,0.530831,0.981532,1.099134,0.902025,0.479735,0.743755,0.553172,0.504643,0.981532,0.479735
15.431193,2.455951,0.041183,1.0,1.0,1.0,0.78947,0.78947,0.78947,1.0,0.739811,0.622863,0.54732,0.524686,0.980479,1.094346,0.898822,0.480712,0.739811,0.54732,0.49829,0.980479,0.480712
15.44412,2.458008,0.041114,1.0,1.0,1.0,0.785886,0.785886,0.785886,1.0,0.73584,0.614923,0.541461,0.518534,0.979397,1.089488,0.895571,0.481671,0.73584,0.541461,0.491938,0.979397,0.481671
