file,md5,part,shaper,tf_ms,cable_nom_mm,cable_infile_mm,trial,name_flagged_del,n_samples,duration_s,median_dt_s,n_moves,move_dist_mm,first_move_t0,first_move_t1,dup_group,is_duplicate_copy,cable_matches_name,notes,use
Bridge_ZV_.5_.5_.9_1100_v1.csv,4c80ee8dd2388151a2997cf61ca7f1e5,A,ZV,1100.0,800.0,799.0,1.0,False,311,26.47,0.102,2,-216.0,1.48,3.37,"Bridge_ZV_.5_.5_.9_1100_v1.csv, Bridge_ZV_.5_.5_.9_1100_v2_del.csv",False,True,,True
Bridge_ZV_.5_.5_.9_1100_v2_del.csv,4c80ee8dd2388151a2997cf61ca7f1e5,A,ZV,1100.0,800.0,799.0,2.0,True,311,26.47,0.102,2,-216.0,1.48,3.37,"Bridge_ZV_.5_.5_.9_1100_v1.csv, Bridge_ZV_.5_.5_.9_1100_v2_del.csv",True,True,byte-identical to Bridge_ZV_.5_.5_.9_1100_v1.csv; '_del' in name: flagged during the session,False
Bridge_ZV_.5_.5_.9_1100_v3.csv,74feb45f6a6979c61706edece6ec2d14,A,ZV,1100.0,800.0,799.0,3.0,False,280,23.26,0.1018,2,211.0,1.73,3.67,"Bridge_ZV_.5_.5_.9_1100_v3.csv, Bridge_ZV_.5_.5_.9_1600_v1.csv",False,True,,True
Bridge_ZV_.5_.5_.9_1600_v1.csv,74feb45f6a6979c61706edece6ec2d14,A,ZV,1600.0,800.0,799.0,1.0,False,280,23.26,0.1018,2,211.0,1.73,3.67,"Bridge_ZV_.5_.5_.9_1100_v3.csv, Bridge_ZV_.5_.5_.9_1600_v1.csv",True,True,byte-identical to Bridge_ZV_.5_.5_.9_1100_v3.csv,False
Bridge_ZV_.5_.5_.9_1600_v2.csv,2a245ac91a8a54fc0a366e6ba8ff01ed,A,ZV,1600.0,800.0,799.0,2.0,False,1504,127.26,0.1019,2,316.0,105.12,107.62,,False,True,,True
Bridge_ZV_.5_.5_.9_1600_v3.csv,ecd9fb2737ffe834ebad58fab5dd90b5,A,ZV,1600.0,800.0,799.0,3.0,False,478,40.65,0.102,2,-315.0,4.08,6.48,,False,True,,True
Bridge_ZV_.5_.5_.9_1600_v4.csv,220dde2045072e3f8b92372e69b3deaf,A,ZV,1600.0,800.0,799.0,4.0,False,476,40.65,0.102,3,316.0,3.77,6.27,,False,True,"3 moves in one log - session file, segmented per move",True
Bridge_ZV_.5_.5_.9_1800_v1.csv,c146358c8d6973557259dd470653d9a8,A,ZV,1800.0,800.0,799.0,1.0,False,291,24.89,0.1019,2,-353.0,3.88,6.48,,False,True,,True
Bridge_ZV_.5_.5_.9_1800_v2.csv,57966dbb774f559cc09c8c8e28ec7c3c,A,ZV,1800.0,800.0,799.0,2.0,False,311,26.47,0.1021,2,352.0,1.63,4.28,,False,True,,True
Bridge_ZV_.5_.5_.9_2000_v1.csv,e685f9f4548b64fe17564d384f164aea,A,ZV,2000.0,800.0,799.0,1.0,False,317,26.98,0.102,2,392.0,1.88,4.74,,False,True,,True
Bridge_ZV_.5_.5_.9_2000_v2.csv,d8f8441f2b16419ab9dcb351c3fd3c9a,A,ZV,2000.0,800.0,799.0,2.0,False,462,38.76,0.1019,2,-393.0,2.6,5.41,,False,True,,True
Bridge_ZV_.5_.5_.9_2000_v3.csv,6b1c48592b548127e4c347766480f723,A,ZV,2000.0,800.0,799.0,3.0,False,261,21.83,0.1019,2,394.0,1.02,3.87,,False,True,,True
Bridge_b_1200_100_1500_v1.csv,cf6ed4b723eb67944c56141e2a209d20,B,Unshaped,1500.0,1200.0,1200.0,1.0,False,355,23.15,0.0511,2,287.0,1.48,3.01,,False,True,,True
Bridge_b_1200_100_1500_v2.csv,d79a0117591c6c9719ac5b80397c8a20,B,Unshaped,1500.0,1200.0,1200.0,2.0,False,671,44.89,0.0511,2,289.0,4.39,5.97,,False,True,,True
Bridge_b_1200_100_1500_v3.csv,6b118a0d1f6924d0179b387d362e47c4,B,Unshaped,1500.0,1200.0,1200.0,3.0,False,671,44.89,0.0511,2,-288.0,1.48,3.06,,False,True,,True
Bridge_b_600_100_1500_v1.csv,87124bc363833eaab7265ad7d397c9c2,B,Unshaped,1500.0,600.0,799.0,1.0,False,234,21.83,0.1021,2,-390.0,4.79,6.02,,False,False,cable tag in file is 799 mm but the name implies 600 mm - MISLABELLED,False
Bridge_b_600_100_1500_v2.csv,a0703bbabae675c510d3870aefb536f4,B,Unshaped,1500.0,600.0,601.0,2.0,False,633,76.81,0.1022,2,287.0,5.87,7.45,"Bridge_b_600_100_1500_v2.csv, Bridge_b_900_100_1500_v2.csv",False,True,,True
Bridge_b_900_100_1500_v1.csv,b4cc049a478eb0b4933c4c9f8252167c,B,Unshaped,1500.0,900.0,901.0,1.0,False,626,52.33,0.1018,2,288.0,2.3,3.88,,False,True,,True
Bridge_b_900_100_1500_v2.csv,a0703bbabae675c510d3870aefb536f4,B,Unshaped,1500.0,900.0,601.0,2.0,False,633,76.81,0.1022,2,287.0,5.87,7.45,"Bridge_b_600_100_1500_v2.csv, Bridge_b_900_100_1500_v2.csv",True,False,cable tag in file is 601 mm but the name implies 900 mm - MISLABELLED; byte-identical to Bridge_b_600_100_1500_v2.csv,False
Bridge_b_900_100_1500_v3.csv,c72854dc6ae7335343cfada0a45aa942,B,Unshaped,1500.0,900.0,901.0,3.0,False,276,21.22,0.0512,2,281.0,1.37,2.85,,False,True,,True
ZVD 3400 failure.csv,45edf9c0766f8822afcd2df93b106a58,,,,,1201.0,,False,517,33.2,0.0511,2,365.0,1.43,4.69,"Bride_ZVD_.5_.5_.91_1200_v3.csv, ZVD 3400 failure.csv",True,False,file name does not match any known lab condition; cable tag in file is 1201 mm but the name implies nan mm - MISLABELLED; byte-identical to Bride_ZVD_.5_.5_.91_1200_v3.csv,False
