file,move_index,direction,cable_infile_mm,move_t0,move_t1,move_dur_s,move_dist_mm,peak_vel_mm_s,rise_time_s,resid_window_s,cycles_available,pred_amp_pp_mm,applied_amps,applied_delays_s,applied_amp_sum,applied_pattern,mirror_amps,mirror_matches_shaper,tf_inferred_s,v_top_mm_s,plateau_fracs,t0,t1,window_s,n_extrema,n_cycles,amp_pp_mean,amp_pp_first,amp_pp_max,amp_single_mean,rms,period_zc,freq_zc_hz,freq_fft_hz,freq_fft2_hz,zeta,offset,amp_pp_mean_full,rms_full,part,shaper,tf_ms,cable_nom_mm,trial
Bride_ZVD_.5_.5_.91_600_v3.csv,0,outbound,603.0,0.711,4.078,3.367,371.0,200.0,3.367,8.01,5.5,4.8,"[0.25, 0.5, 0.5]","[0.0, 0.969, 1.938]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.505,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",4.077662,10.1477,6.070038,8,4.0,24.0,33.0,33.0,12.0,8.536620556903321,1.5449524972222222,0.6472690919610601,0.6494054196778716,0.49660414445954887,0.021277822331710477,8.205882352941178,23.0,8.177369819363054,B,ZVD,1500.0,600.0,3.0
Bride_ZVD_.5_.5_.91_600_v3.csv,1,return,603.0,12.341,15.554,3.213,-364.0,200.0,3.213,11.89,8.0,16.9,"[0.25, 0.5, 0.5]","[0.0, 0.893, 1.836]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.428,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",15.55395,21.67529,6.12134,8,4.0,47.142857142857146,66.0,66.0,23.571428571428573,16.662398530768446,1.5586433832442073,0.6415835788675213,0.6495769343636867,0.4967353027487016,0.02036246859639025,9.181818181818182,41.733333333333334,15.160663904577142,B,ZVD,1500.0,600.0,3.0
Bride_ZVD_.5_.5_.91_900_v1.csv,0,outbound,901.0,1.939,5.305,3.367,372.0,200.0,3.367,7.96,4.5,51.8,"[0.25, 0.5, 0.5]","[0.0, 0.919, 1.887]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.428,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",5.305114,12.90499,7.599876,9,4.5,50.875,9.0,60.0,25.4375,20.21760450619741,1.9053502538829152,0.5248378863477196,0.5178184790773713,0.6712461765817777,0.0,5.693877551020407,50.875,20.336660454312202,B,ZVD,1500.0,900.0,1.0
Bride_ZVD_.5_.5_.91_900_v1.csv,1,return,901.0,13.517,16.832,3.315,-368.0,200.0,3.265,7.35,3.5,51.0,"[0.25, 0.5, 0.5]","[0.0, 0.944, 1.887]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.454,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",16.83234,24.17738,7.345040000000001,7,3.5,9.333333333333334,14.0,14.0,4.666666666666667,3.1908152019339133,1.906730965909091,0.5244578379851402,0.517561831386803,0.6709134851310409,0.031976859788361886,7.522727272727272,9.333333333333334,3.1908152019339133,B,ZVD,1500.0,900.0,1.0
Bride_ZVD_.5_.5_.91_900_v2.csv,0,outbound,901.0,2.394,5.761,3.366,371.0,200.0,3.366,10.05,6.0,47.5,"[0.25, 0.5, 0.5]","[0.0, 0.918, 1.887]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.479,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",5.760671,13.36088,7.6002089999999995,9,4.5,54.5,7.0,64.0,27.25,21.72911725915261,1.9033058283926216,0.5254016380775334,0.5169529948044223,0.670124252524251,0.0,5.165289256198348,55.09090909090909,21.35970838451927,B,ZVD,1500.0,900.0,2.0
Bride_ZVD_.5_.5_.91_900_v2.csv,1,return,901.0,16.116,19.43,3.315,-369.0,200.0,3.265,11.99,6.5,46.5,"[0.25, 0.5, 0.5]","[0.0, 0.944, 1.964]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.505,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",19.4305,26.92913,7.498630000000002,9,4.5,48.125,29.0,54.0,24.0625,18.15651292998905,1.9105191420454541,0.5234179433184702,0.517968519791767,0.6714406738041423,0.0,8.12676056338028,47.5,17.33711282351667,B,ZVD,1500.0,900.0,2.0
Bride_ZVD_.5_.5_.91_900_v3.csv,0,outbound,901.0,0.711,4.077,3.367,371.0,200.0,3.316,11.88,6.5,43.3,"[0.25, 0.5, 0.5]","[0.0, 0.841, 1.861]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.453,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",4.077467,11.67757,7.600102999999999,9,4.5,61.75,18.0,72.0,30.875,24.366899730354206,1.9129839832451498,0.5227435298771393,0.5160373711970747,0.6689373330332451,0.0,5.935714285714286,62.083333333333336,23.6368993356591,B,ZVD,1500.0,900.0,3.0
Bride_ZVD_.5_.5_.91_900_v3.csv,1,return,901.0,17.849,21.165,3.316,-370.0,200.0,3.265,11.99,6.5,40.7,"[0.25, 0.5, 0.5]","[0.0, 0.944, 1.888]",1.25,"ZVD-like (3rd impulse 0.5, sums to 1.25)","[-0.25, -0.5, -0.5]",True,1.429,200.0,"[0.25, 0.75, 0.5, 1.0, 0.5]",21.16517,28.71413,7.548960000000001,8,4.0,37.142857142857146,44.0,44.0,18.571428571428573,13.05992133435102,1.891088730753225,0.5287959172606871,0.5164720141031296,0.6695007590225754,0.012280797848864043,7.666666666666665,35.5,12.526661873109498,B,ZVD,1500.0,900.0,3.0
Bride_ZV_.5_.5_.91_1200_v1.csv,0,outbound,1200.0,0.711,3.057,2.346,296.0,200.0,2.346,4.39,2.0,77.2,"[0.5, 0.5]","[0.0, 0.842]",1.0,ZV,"[-0.5, -0.5]",True,1.403,200.0,"[0.5, 1.0, 0.5]",3.057051,7.444148,4.387097000000001,4,2.0,75.66666666666667,80.0,80.0,37.833333333333336,26.31028864494358,2.261666152777778,0.44215190591759096,0.4588660258041796,0.3059106838694531,0.014984467975130448,6.180555555555556,75.66666666666667,26.31028864494358,B,ZV,1500.0,1200.0,1.0
Bride_ZV_.5_.5_.91_1200_v1.csv,1,return,1200.0,7.699,10.046,2.347,-290.0,200.0,2.347,8.82,4.5,81.2,"[0.5, 0.5]","[0.0, 0.816]",1.0,ZV,"[-0.5, -0.5]",True,1.479,200.0,"[0.5, 1.0, 0.5]",10.04562,18.81873,8.773109999999999,9,4.5,54.25,10.000000000000004,64.0,27.125,21.786995126938876,2.2046381912144706,0.45358916668731447,0.45924365631429664,0.30616243754286443,0.0,6.707692307692307,54.25,21.73456876245629,B,ZV,1500.0,1200.0,1.0
