block_index,start_idx,end_idx,num_samples,frequency_hz,time_start_s,time_end_s,duration_s,amplitude_set
1,0,51028,51029,0.05,12.449876,38.03693,25.587054,300.0
2,51029,95058,44030,0.1,44.517105,66.750042,22.232936999999993,300.0
3,95059,119818,24760,0.2,72.133009,84.594905,12.461895999999996,300.0
4,119819,137614,17796,0.5,88.38736,97.349253,8.961893000000003,300.0
5,137615,147758,10144,1.0,103.997284,109.093738,5.0964540000000085,300.0
6,147759,173949,26191,2.0,114.432332,127.565761,13.133428999999992,300.0
7,173950,185845,11896,5.0,131.744142,137.70504,5.960897999999986,300.0
8,185846,198590,12745,7.5,142.55678,148.944171,6.387391000000008,300.0
9,198591,213624,15034,10.0,153.858338,161.393088,7.5347500000000025,300.0
10,213625,225852,12228,15.0,165.495109,171.620714,6.125604999999979,300.0
11,225853,237195,11343,20.0,176.671652,182.358589,5.686937,300.0
