index,t_step,y0,y1,u0_V,u1_V,dV,domega,K_rad_per_s_per_V,tau_s,direction
3737,30.000727,-3.390631031656401,3.231109648446786,-2.932551319648094,2.932551319648094,5.865102639296188,6.621740680103187,1.1290067859575934,0.03553388106172761,up
8722,32.500878,3.3543335239224303,-3.2962259018899935,2.932551319648094,-2.932551319648094,-5.865102639296188,-6.650559425812424,1.1339203821010182,0.034798438143916144,down
13699,35.000519,-3.3914833981031975,3.222926471535947,-2.932551319648094,2.932551319648094,5.865102639296188,6.614409869639145,1.127756882773474,0.036140001910901276,up
18687,37.500847,3.3827688731548813,-3.28518281974019,2.932551319648094,-2.932551319648094,-5.865102639296188,-6.6679516928950715,1.1368857636386096,0.03523629703636999,down
23674,40.00084,-3.3919448806107173,3.2426271721738056,-2.932551319648094,2.932551319648094,5.865102639296188,6.634572052784523,1.1311945349997612,0.03440150999075797,up
28626,42.500581,3.3835636524630077,-3.290664925100643,2.932551319648094,-2.932551319648094,-5.865102639296188,-6.6742285775636505,1.1379559724746025,0.03622758141432314,down
33610,45.000502,-3.391681362073605,3.2406805628258253,-2.932551319648094,2.932551319648094,5.865102639296188,6.63236192489943,1.1308177081953528,0.03475411086371594,up
38597,47.500899,3.3792811555306823,-3.2694484234607195,2.932551319648094,-2.932551319648094,-5.865102639296188,-6.648729578991402,1.133608393218034,0.036873614795197796,down
