f_hz,omega_rad_s,Au_volts,Ay_rad_per_s,Gain_linear_rad_per_s_per_V,Gain_dB,Phase_deg,N_samples
0.05,0.3141592653589793,2.9325512458403296,3.3918583630206975,1.1566237309004817,1.2638419729673023,-1.2939540426918417,37062
0.1,0.6283185307179586,2.932551506378599,3.415656592403771,1.1647388238448222,1.3245710380684574,-1.4351636021881191,31234
0.2,1.2566370614359172,2.9325510495807703,3.426393669343298,1.168400348847508,1.3518335593634365,-2.593923612100275,37159
0.5,3.141592653589793,2.9325525052640886,3.397358936720978,1.1584989290464662,1.2779127330088809,-6.715861987944887,52778
1.0,6.283185307179586,2.932551924947259,3.410805003001426,1.1630842659547345,1.3122236138022416,-13.663371628307871,25711
2.0,12.566370614359172,2.932552855705255,3.3156655476651684,1.1306413595289753,1.0664973632686572,-26.190870132956704,21017
5.0,31.41592653589793,2.932548939223506,2.798758459055776,0.9543774092298164,-0.405596985307285,-59.491307993723616,10168
7.5,47.12388980384689,2.9325544617533406,1.048012949823835,0.3573720329808437,-8.937588745467975,-83.43743020082297,15668
10.0,62.83185307179586,2.9326147066178923,0.016831096686595954,0.005739279915842343,-44.822851867001326,-105.17616810198487,11867
15.0,94.24777960769379,2.932558668711024,0.0004430665779443314,0.00015108532445459199,-76.41555436880152,-156.52746401838058,8627
20.0,125.66370614359172,2.932540418440267,8.49582355451217e-05,2.8970866014630594e-05,-90.76077044818305,-257.86260685310265,8813
