"Time X-dir (sec)","X Payload Deflection (mm)","X Crane Position (mm)","X Actual Velocity (mm/sec)","X Command Velocity (mm/sec)","X Deflection Error (mm)","Time Y-dir (sec)","Y Payload Deflection (mm)","Y Crane Position (mm)","Y Actual Velocity (mm/sec)","Y Command Velocity (mm/sec)","Y Deflection Error (mm)"
0,-50,-308,0,1200,0,0,-8,-70,0,0,0
1200,-49,-308,0,1200,0,0.099422,-2,-70,0,0,0
1200,-49,-308,0,1200,0,0.149898,0,-70,0,0,0
1200,-49,-308,0,1200,0,0.201437,2,-70,0,0,0
1200,-49,-308,0,1200,0,0.201437,5,-70,0,0,0
1200,-49,-308,0,1200,0,0.354631,12,-70,0,0,0
1200,-49,-308,0,1200,0,0.354631,14,-70,0,0,0
1200,-48,-308,0,1200,0,0.405099,17,-70,0,0,0
1200,-48,-308,0,1200,0,0.456203,19,-70,0,0,0
1200,-48,-308,0,1200,0,0.558042,24,-70,0,0,0
1200,-48,-308,0,1200,0,0.609062,25,-70,0,0,0
1200,-48,-308,0,1200,0,0.660317,26,-70,0,0,0
1200,-48,-308,0,1200,0,0.711058,26,-70,0,0,0
1200,-48,-308,0,1200,0,0.813775,27,-70,0,0,0
1200,-48,-308,0,1200,0,0.864125,27,-70,0,0,0
1200,-47,-308,0,1200,0,0.915106,26,-70,0,0,0
1200,-47,-308,0,1200,0,0.966288,25,-70,0,0,0
1200,-48,-308,0,1200,0,1.068074,21,-70,0,0,0
1200,-47,-308,0,1200,0,1.11938,19,-70,0,0,0
1200,-48,-308,0,1200,0,1.11938,18,-70,0,0,0
1200,-48,-308,0,1200,0,1.170185,16,-70,0,0,0
1200,-48,-308,0,1200,0,1.272482,8,-70,0,0,0
1200,-48,-308,0,1200,0,1.323437,6,-70,0,0,1
1200,-48,-308,0,1200,0,1.374292,4,-69,40,0,1
1200,-48,-308,0,1200,0,1.425565,1,-66,85,0,1
1200,-49,-308,0,1200,0,1.527804,2,-56,100,0,1
1200,-49,-308,0,1200,0,1.578498,5,-51,100,0,1
1200,-49,-308,0,1200,0,1.629381,7,-47,100,0,1
1200,-49,-308,0,1200,0,1.680252,8,-43,100,0,1
1200,-50,-308,0,1200,0,1.782664,12,-32,100,0,1
1200,-50,-308,0,1200,0,1.833217,13,-27,100,0,1
1200,-50,-308,0,1200,0,1.884525,16,-23,100,0,1
1200,-50,-308,0,1200,0,1.884525,16,-18,100,0,1
1200,-50,-308,0,1200,0,2.037982,17,-7,100,0,1
1200,-50,-308,0,1200,0,2.037982,18,-2,100,0,1
1200,-50,-308,0,1200,0,2.088582,19,3,100,0,1
1200,-50,-308,0,1200,0,2.139538,19,8,100,0,1
1200,-50,-308,0,1200,0,2.241672,19,19,173,0,1
1200,-50,-308,0,1200,0,2.292336,21,28,199,0,1
1200,-50,-308,0,1200,0,2.343538,25,36,200,0,1
1200,-49,-308,0,1200,0,2.394289,27,45,200,0,1
1200,-50,-308,0,1200,0,2.496901,32,67,200,0,1
1200,-50,-308,0,1200,0,2.547447,36,76,200,0,1
1200,-49,-308,0,1200,0,2.598371,37,84,200,0,1
1200,-49,-308,0,1200,0,2.598371,37,93,200,0,1
1200,-49,-308,0,1200,0,2.752275,36,115,200,0,1
1200,-49,-308,0,1200,0,2.752275,37,124,200,0,1
1200,-49,-308,0,1200,0,2.80277,36,133,163,0,1
1200,-48,-308,0,1200,0,2.853775,33,140,112,0,1
1200,-47,-308,0,1200,0,2.904608,29,145,100,0,1
1200,-49,-308,0,1200,0,3.00649,13,154,100,0,1
1200,-49,-308,0,1200,0,3.057478,7,158,100,0,1
1200,-48,-308,0,1200,0,3.108786,0,162,100,0,1
1200,-47,-308,0,1200,0,3.159473,-7,166,100,0,1
1200,-47,-308,0,1200,0,3.159473,-13,171,100,0,1
1200,-48,-308,0,1200,0,3.210547,-18,176,100,0,1
1200,-49,-308,0,1200,0,3.261887,-21,181,100,0,1
1200,-48,-308,0,1200,0,3.363578,-36,190,100,0,1
1200,-48,-308,0,1200,0,3.414794,-39,194,100,0,1
1200,-48,-308,0,1200,0,3.465606,-41,198,100,0,1
1200,-49,-308,0,1200,0,3.5167,-43,202,100,0,1
1200,-49,-308,0,1200,0,3.5167,-44,207,100,0,1
1200,-49,-308,0,1200,0,3.56785,-45,212,100,0,1
1200,-49,-308,0,1200,0,3.66963,-44,222,100,0,1
1200,-50,-308,0,1200,0,3.720765,-42,225,72,0,1
1200,-51,-308,0,1200,0,3.771723,-41,227,30,0,1
1200,-50,-308,0,1200,0,3.822679,-39,228,-3,0,1
1200,-50,-308,0,1200,0,3.873864,-39,228,0,0,1
1200,-50,-308,0,1200,0,3.9246,-38,228,0,0,1
1200,-51,-308,0,1200,0,4.027144,-32,228,0,0,1
1200,-51,-308,0,1200,0,4.077658,-30,228,0,0,1
1200,-50,-308,0,1200,0,4.077658,-26,228,0,0,1
1200,-50,-308,0,1200,0,4.128615,-23,228,0,0,1
1200,-51,-308,0,1200,0,4.180011,-18,228,0,0,1
1200,-51,-308,0,1200,0,4.230694,-13,228,0,0,1
1200,-50,-308,0,1200,0,4.332898,0,228,0,0,1
1200,-51,-308,0,1200,0,4.383816,6,228,0,0,1
1200,-51,-308,0,1200,0,4.434683,11,228,0,0,1
1200,-51,-308,0,1200,0,4.434683,16,228,0,0,1
1200,-50,-308,0,1200,0,4.486071,21,228,0,0,1
1200,-50,-308,0,1200,0,4.536724,26,228,0,0,1
1200,-50,-308,0,1200,0,4.587778,31,228,0,0,1
1200,-50,-308,0,1200,0,4.689752,42,228,0,0,1
1200,-50,-308,0,1200,0,4.740652,44,228,0,0,1
1200,-50,-308,0,1200,0,4.79196,47,228,0,0,1
1200,-49,-308,0,1200,0,4.842733,49,228,0,0,1
1200,-49,-308,0,1200,0,4.842733,50,228,0,0,1
1200,-49,-308,0,1200,0,4.893867,51,228,0,0,1
1200,-49,-308,0,1200,0,4.995794,50,228,0,0,1
1200,-49,-308,0,1200,0,5.046887,49,228,0,0,1
1200,-49,-308,0,1200,0,5.098059,47,228,0,0,1
1200,-49,-308,0,1200,0,5.148913,44,228,0,0,1
1200,-48,-308,0,1200,0,5.199884,42,228,0,0,1
1200,-48,-308,0,1200,0,5.199884,38,228,0,0,1
1200,-48,-308,0,1200,0,5.353226,26,228,0,0,1
1200,-48,-308,0,1200,0,5.353226,21,228,0,0,1
1200,-48,-308,0,1200,0,5.404141,16,228,0,0,1
1200,-48,-308,0,1200,0,5.454879,11,228,0,0,1
1200,-48,-308,0,1200,0,5.505992,6,228,0,0,1
1200,-48,-308,0,1200,0,5.557014,0,228,0,0,1
1200,-48,-308,0,1200,0,5.607993,-5,228,0,0,1
1200,-49,-308,0,1200,0,5.709986,-18,228,0,0,1
1200,-49,-308,0,1200,0,5.709986,-21,228,0,0,1
1200,-49,-308,0,1200,0,5.760971,-25,228,0,0,1
1200,-49,-308,0,1200,0,5.812172,-29,228,0,0,1
1200,-49,-308,0,1200,0,5.863191,-32,228,0,0,1
1200,-50,-308,0,1200,0,5.914414,-35,228,0,0,1
1200,-50,-308,0,1200,0,5.965063,-36,228,0,0,1
1200,-50,-308,0,1200,0,6.066933,-38,228,0,0,1
1200,-50,-308,0,1200,0,6.117922,-37,228,0,0,1
1200,-50,-308,0,1200,0,6.117922,-37,228,0,0,1
