block_index,start_idx,end_idx,num_samples,frequency_hz,time_start_s,time_end_s,duration_s,amplitude_set
1,0,55995,55996,0.05,8.933842,37.022094,28.088252000000004,400.0
2,55996,102642,46647,0.1,45.073041,68.477058,23.404016999999996,400.0
3,102643,134171,31529,0.2,74.190555,90.004318,15.813762999999994,400.0
4,134172,171387,37216,0.5,96.140506,114.821716,18.681209999999993,400.0
5,171388,196795,25408,1.0,121.098436,133.83078,12.732343999999998,400.0
6,196796,209967,13172,2.0,139.4057,146.020634,6.614934000000005,400.0
7,209968,231881,21914,5.0,152.429819,163.411575,10.98175599999999,400.0
8,231882,248402,16521,7.5,169.77965,178.058559,8.278908999999999,400.0
9,248403,267297,18895,10.0,183.033564,192.516741,9.483176999999984,400.0
10,267298,283684,16387,15.0,196.965811,205.182523,8.216712000000001,400.0
11,283685,293303,9619,20.0,212.193011,217.015052,4.8220409999999845,400.0
