file,sheet,run_index,controller,waveform,deadband,duty_cycle,Kp,Ki,Kd,error_source,error_mean,error_std,error_rms,command_mean,command_std,command_rms,cycle_duration,N,rise_time_10_90,percent_overshoot,settling_time_2pct
BB_Sine.xlsx,BB_Sine,1,bang-bang,sine,0.0,0.5,0.0,0.0,0.0,LabVIEW,0.29417785906551513,6.442409632813964,6.448305433729205,62.91130398171661,30.485045975527136,69.90661059170937,1.9993859999999994,3938,,,
BB_Sine.xlsx,BB_Sine,2,bang-bang,sine,5.0,0.5,0.0,0.0,0.0,LabVIEW,-0.0864562638146166,3.802953645783494,3.803452154537264,63.022889623121976,30.4467770250341,69.99039068339317,1.9993300000000005,3927,,,
BB_Sine.xlsx,BB_Sine,3,bang-bang,sine,10.0,0.5,0.0,0.0,0.0,LabVIEW,1.5063851854388635,7.7224335454533914,7.86702280629233,63.01206496879757,30.42098806599676,69.96943678027161,1.9988450000000029,3942,,,
BB_Sine.xlsx,BB_Sine,4,bang-bang,sine,0.0,1.0,0.0,0.0,0.0,LabVIEW,0.45314812633181134,14.749697136441187,14.75478634933936,63.04539345738204,30.461858729294452,70.01721987490706,1.999640999999997,3942,,,
BB_Sine.xlsx,BB_Sine,5,bang-bang,sine,5.0,1.0,0.0,0.0,0.0,LabVIEW,0.6585907973110094,12.079908804371119,12.096318479307579,62.91314579020802,30.50597142325037,69.9173950387962,1.999245000000002,3942,,,
BB_Sine.xlsx,BB_Sine,6,bang-bang,sine,10.0,1.0,0.0,0.0,0.0,LabVIEW,0.14683421970468397,5.811148416403326,5.812263680881461,63.06159539791243,30.497590610690064,70.04734869533645,1.9996519999999975,3928,,,
BB_Square.xlsx,BB_Square,1,bang-bang,square,0.0,0.5,0.0,0.0,0.0,LabVIEW,1.1280372081327603,61.98342054227545,61.98975881825543,-0.37623511527742587,99.00555621976655,99.0,3.9992850000000004,7894,0.33210400000000107,105.51446565656568,0.47087700000000154
BB_Square.xlsx,BB_Square,2,bang-bang,square,5.0,0.5,0.0,0.0,0.0,LabVIEW,0.49279023679555245,59.91750887998424,59.915749786558095,0.050037907505686124,99.00624268503955,99.0,3.9999089999999953,7914,0.3296279999999996,104.51308939393942,0.44932399999999717
BB_Square.xlsx,BB_Square,3,bang-bang,square,10.0,0.5,0.0,0.0,0.0,LabVIEW,1.3187704062144774,60.603071430499575,60.61359185571795,0.06252368321333839,99.00623321594968,99.0,3.999436000000003,7917,0.32871100000001263,102.42078484848487,0.45251800000001197
BB_Square.xlsx,BB_Square,4,bang-bang,square,0.0,1.0,0.0,0.0,0.0,LabVIEW,0.5076581955229538,51.74852816929818,51.74774592824393,-0.13772606551157202,99.0061650631175,99.0,3.999600000000001,7907,0.1520930000000078,112.5376045454546,0.24244500000000357
BB_Square.xlsx,BB_Square,5,bang-bang,square,5.0,1.0,0.0,0.0,0.0,LabVIEW,6.6442310874192305,57.508334481653854,57.88726402529806,0.3888255416191562,99.00550836222929,99.0,3.9996260000000063,7893,0.3243539999999996,113.34545252525258,0.3633570000000077
BB_Square.xlsx,BB_Square,6,bang-bang,square,10.0,1.0,0.0,0.0,0.0,LabVIEW,6.710253509426798,43.67106486636177,44.180856572322945,-0.08768821966341896,99.00622520180063,99.0,3.9993240000000014,7903,0.15561099999999328,112.3363141414142,0.22713999999999146
PID_ack.xlsx,PID_ack,1,pid,square,10.0,1.0,9.91,0.0,-0.17,LabVIEW,-0.7945681462920774,47.98810899290391,47.991650481555524,0.30068337129840544,99.0058081829366,99.0,3.999474,7902,0.15586400000000022,104.8220090909091,0.2468110000000001
PID_ack.xlsx,PID_ack,2,pid,sine,10.0,1.0,9.91,0.0,-0.17,LabVIEW,2.812044919633775,15.834536862861233,16.08031054146183,63.06140815437436,30.47191572110295,70.03601000330201,1.9996949999999991,3932,,,
PID_Manual.xlsx,PID_Manual,1,pid,square,10.0,1.0,30.0,20.0,3.0,LabVIEW,0.2485800510281771,45.33800355729046,45.335807456564126,0.10053313023610053,99.00623287063208,99.0,3.9995310000000046,7878,0.2804310000000072,98.35668434343432,0.5985100000000045
PID_Manual.xlsx,PID_Manual,2,pid,sine,10.0,1.0,30.0,20.0,3.0,LabVIEW,0.8542663078291817,5.143682891482076,5.213493960516658,62.92627914311134,30.48838441514578,69.92154107969185,1.9995779999999996,3934,,,
PID_prop.xlsx,PID_prop,1,pid,square,10.0,1.0,0.75,0.0,0.0,LabVIEW,-30.0251269035533,99.00627913493581,103.45292462861163,-0.025126903553299492,99.00627913493581,99.0,3.9992769999999993,7880,,65.15151515151499,
PID_prop.xlsx,PID_prop,2,pid,square,10.0,1.0,2.0,0.0,0.0,LabVIEW,2.9388395420477633,71.31878100304232,71.37477963119001,0.10060975609756098,99.00623758281115,99.0,3.9994330000000033,7872,,75.50450505050492,
PID_prop.xlsx,PID_prop,3,pid,square,10.0,1.0,5.0,0.0,0.0,LabVIEW,3.2841598426079215,47.04672994549217,47.15822993953133,-0.26473958996561825,99.00594992745772,99.0,3.9995589999999908,7853,,88.5859757575757,
PID_prop.xlsx,PID_prop,4,pid,sine,10.0,1.0,0.75,0.0,0.0,LabVIEW,24.73187624884793,30.22370216313342,39.0500193519887,63.25646641141833,30.223702158523434,70.10434259860561,1.9996460000000127,3906,,,
PID_prop.xlsx,PID_prop,5,pid,sine,10.0,1.0,2.0,0.0,0.0,LabVIEW,48.7142394562247,36.10427426208222,60.632218399812515,63.08581411867409,30.46696052272074,70.05584022091696,1.9992630000000133,3952,,,
PID_prop.xlsx,PID_prop,6,pid,sine,10.0,1.0,5.0,0.0,0.0,LabVIEW,12.195113751527495,28.558564973022545,31.05003699492988,62.993518138492874,30.55927951690946,70.01296412253284,1.9996459999999843,3928,,,
