file,sheet,run_index,controller,waveform,error_mean,error_std,error_rms,command_mean,command_std,command_rms,cycle_duration,N,rise_time_10_90,percent_overshoot,settling_time_2pct
BB_Sine_data.xlsx,BB_Sine_data,1,bang-bang,sine,0.13077810155799338,6.746862444837927,6.747264921977462,62.85114167333333,30.519768226512138,69.86761357957543,1.9992719999999995,3900,,,
BB_Sine_data.xlsx,BB_Sine_data,2,bang-bang,sine,0.03386959177161172,3.8293902440602112,3.8290495666924,62.882978986424185,30.410887633043295,69.8487955653733,1.999127999999999,3904,,,
BB_Sine_data.xlsx,BB_Sine_data,3,bang-bang,sine,1.6482181319667153,7.698315915572156,7.87180599365697,62.892713301969934,30.509923165810598,69.90069755589413,1.9994569999999925,3858,,,
BB_Sine_data.xlsx,BB_Sine_data,4,bang-bang,sine,-0.21587834346293616,14.706908372053594,14.706609689230222,63.110973827400755,30.455622159276384,70.07355001027753,1.9997469999999993,3905,,,
BB_Sine_data.xlsx,BB_Sine_data,5,bang-bang,sine,-0.5172086918104386,13.041092354922073,13.049669959780537,63.17347611770753,30.437918522037133,70.1221567242779,1.9995130000000074,3891,,,
BB_Sine_data.xlsx,BB_Sine_data,6,bang-bang,sine,-0.8381406836055278,6.1378342510694255,6.1940052760412305,62.76678957417511,30.45421033669139,69.76308364507896,1.9995970000000227,3849,,,
BB_Square_Data.xlsx,BB_Square_Data,1,bang-bang,square,0.21716944245981123,61.66705692919419,61.66350537214049,-0.3536616483796887,99.00568424882476,99.0,3.999580999999999,7838,0.3178000000000001,105.17641262626265,0.45318099999999895
BB_Square_Data.xlsx,BB_Square_Data,2,bang-bang,square,-2.0823203296661092,59.49297069287311,59.52559815479506,-0.21529998720736856,99.00609883339499,99.0,3.9991369999999975,7817,0.3121799999999979,104.9055176767677,0.43130799999999425
BB_Square_Data.xlsx,BB_Square_Data,3,bang-bang,square,-0.04430504494382174,60.53139607048872,60.52754779847156,-0.07584269662921349,99.00629177707135,99.0,3.9998529999999874,7832,0.3081449999999961,103.08273434343435,0.43110699999999724
BB_Square_Data.xlsx,BB_Square_Data,4,bang-bang,square,0.8367232466051767,44.32782532691257,44.33288260636675,0.17755572636433511,99.00618265254444,99.0,3.9997919999999993,7806,0.21171299999998894,113.78174494949502,0.22579199999999844
BB_Square_Data.xlsx,BB_Square_Data,5,bang-bang,square,-0.17664426757862425,41.12886652036722,41.12661674281817,-0.22781897212989005,99.00606676581354,99.0,3.999517999999995,7822,0.1677620000000104,114.22531717171725,0.2033830000000023
BB_Square_Data.xlsx,BB_Square_Data,6,bang-bang,square,-5.751548972876153,46.82489609807027,47.173834768677054,0.05066530194472876,99.00632080517977,99.0,3.9993920000000003,7816,0.15084800000002474,114.63179494949503,0.2257619999999747
PID_Sine_KP_Data.xlsx,PID_Sine_KP_Data,1,pid,sine,46.55690632584561,30.4276074395317,55.61604674275816,62.95032997483787,30.427646806522766,69.91670449661419,1.999791,3855,,,
PID_Sine_KP_Data.xlsx,PID_Sine_KP_Data,2,pid,sine,46.78938715579188,37.43956209468907,59.921689565781676,63.14373774155579,30.401909963984256,70.07974911983742,1.999488999999997,3908,,,
PID_Sine_KP_Data.xlsx,PID_Sine_KP_Data,3,pid,sine,12.341409304232648,28.496876244381923,31.051145455464916,62.87947363068619,30.520992551524486,69.89363192613904,1.9994599999999991,3891,,,
PID_Square_KP_Data.xlsx,PID_Square_KP_Data,1,pid,square,-15.795908647874652,99.00455395931397,100.2504547755771,0.5975343521253371,99.00455395931397,99.0,3.999683000000001,7787,,58.27951666666647,
PID_Square_KP_Data.xlsx,PID_Square_KP_Data,2,pid,square,0.9029190072983379,70.2948463570617,70.29614491463396,0.07605633802816901,99.00630942002199,99.0,3.9994820000000004,7810,,79.5619393939393,
PID_Square_KP_Data.xlsx,PID_Square_KP_Data,3,pid,square,0.3613156400154512,46.91544086932835,46.91381198555156,-0.26767091541135574,99.00601185137839,99.0,3.9995369999999895,7767,0.4702529999999996,92.14698585858582,
PID_ack_tuning.xlsx,PID_ack_tuning,1,pid,square,0.5295785898352671,47.48944598132193,47.48936663483696,-0.4424722257693781,99.00533277285273,99.0,3.999129,7831,0.15934000000000026,103.32990151515153,0.2528869999999994
PID_manual_tuning.xlsx,PID_manual_tuning_better,1,pid,square,-0.054313684379005474,43.87596777460819,43.873192343243545,-0.4056338028169014,99.00550757623566,99.0,3.9995369999999753,7810,0.15347000000002708,109.5258151515152,0.22371299999997518
